Country,Region,Date,Gender,Population_Density,Health_Expenditure_Govt,Health_Expenditure_Pvt,Health_Expenditure_Indv,Life_Expectancy,Education_Expenditure,Mean_years_in_school,Average_Income,Employment_Rate,Income_Inequality,Child_Mortality_Rate,Adult_Mortality_Rate,Suicides,Murders
Mexico,LATIN AMER. & CARIB    ,2005,Female,55.8,46.6,53.4,54.6,77.8,4.85,9.63,1380.0,0.0,36.1,487.0,0.0,5190.0,13900.0
"Micronesia, Fed. Sts.",OCEANIA                            ,2005,Female,152.0,93.8,6.15,4.94,68.6,23.6,12.4,522.0,0.0,42.4,408.0,0.0,17.8,6.41
Moldova,C.W. OF IND. STATES ,2005,Female,127.0,48.5,51.5,42.8,71.7,5.71,11.9,622.0,0.0,43.4,386.0,0.0,871.0,387.0
Monaco,WESTERN EUROPE                     ,2005,Female,22700.0,87.1,12.9,5.82,0.0,1.17,0.0,1990.0,0.0,40.0,9.7,0.0,0.0,0.0
Mongolia,ASIA (EX. NEAR EAST)         ,2005,Female,1.63,81.9,18.1,32.4,69.1,4.16,9.33,593.0,0.0,32.0,420.0,0.0,598.0,316.0
Morocco,NORTHERN AFRICA                    ,2005,Female,68.4,29.4,70.6,59.3,72.9,6.98,4.74,716.0,0.0,55.4,403.0,0.0,1680.0,373.0
Mozambique,SUB-SAHARAN AFRICA                 ,2005,Female,26.6,72.4,27.6,9.41,53.0,4.26,3.71,394.0,0.0,52.1,440.0,0.0,1320.0,1400.0
Namibia,SUB-SAHARAN AFRICA                 ,2005,Female,2.47,68.9,31.1,4.0,55.3,7.24,8.3,541.0,0.0,51.4,412.0,0.0,243.0,388.0
Nauru,OCEANIA                            ,2005,Female,506.0,81.5,18.5,4.43,0.0,0.0,0.0,555.0,0.0,40.0,71.1,0.0,0.0,0.0
Nepal,ASIA (EX. NEAR EAST)         ,2005,Female,179.0,21.7,78.3,49.2,66.8,2.8,4.52,655.0,0.0,25.8,407.0,0.0,2970.0,615.0
Netherlands,WESTERN EUROPE                     ,2005,Female,485.0,63.1,36.9,10.6,81.5,4.54,12.7,2980.0,0.0,51.9,324.0,0.0,1890.0,194.0
New Zealand,OCEANIA                            ,2005,Female,15.7,78.0,22.0,14.1,81.8,6.62,13.7,660.0,0.0,38.2,391.0,0.0,522.0,62.8
Nicaragua,LATIN AMER. & CARIB    ,2005,Female,44.7,53.5,46.5,44.2,74.9,2.95,7.78,975.0,0.0,39.4,509.0,0.0,420.0,608.0
Niger,SUB-SAHARAN AFRICA                 ,2005,Female,10.8,43.8,56.2,51.7,53.8,2.66,1.52,447.0,0.0,34.9,433.0,0.0,477.0,315.0
Nigeria,SUB-SAHARAN AFRICA                 ,2005,Female,153.0,33.5,66.5,77.7,49.0,0.85,6.7,873.0,0.0,53.5,438.0,0.0,5300.0,1010.0
North Korea,ASIA (EX. NEAR EAST)         ,2005,Female,199.0,0.0,0.0,0.0,71.7,0.0,11.4,570.0,0.0,37.0,500.0,0.0,2960.0,735.0
Norway,WESTERN EUROPE                     ,2005,Female,12.7,82.5,17.4,16.7,82.3,6.26,13.1,1310.0,0.0,35.1,336.0,0.0,575.0,42.9
Oman,NEAR EAST                          ,2005,Female,8.11,81.8,18.3,10.5,76.6,3.26,8.18,917.0,0.0,40.0,414.0,0.0,60.2,12.1
